Rok,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Zboží a služby pro běžnou údržbu domácnosti,"79,7","82,8","87,9","98,6","103,8","106,4","107,4","109,7","107,8",104,"102,1","101,8",103,"103,6","101,5","99,5","98,3","100,6","102,7","101,8",100,"97,1","95,2","97,6","98,5","101,4","101,1","113,3","128,9"
Zdraví,"32,2","36,2","43,1","49,1","51,1","52,5","54,2","56,7",59,"60,8","65,4","68,5",71,"93,4","90,3",95,"97,8","106,9","109,5","107,6",100,"102,6","106,5","110,4","113,9","116,5","120,7","130,9","142,4"
Doprava,"65,8",74,80,"83,7","86,7","96,2","96,5","94,6","94,7","96,9","98,3","99,8","100,2","102,6","96,6","99,2","101,9","104,9","104,2","104,4",100,"98,3","101,9","104,8","105,2","104,9","113,6","134,2","132,9"
"Nákup automobilů, motocyklů a jízdních kol","154,2",158,"160,2",164,"163,4","163,6","163,3","161,1","157,7","152,3",146,"144,7","142,2","135,2","123,1","109,4","105,1","101,8","99,5","98,9",100,"102,2","105,4","107,4","108,4","113,3","121,8","137,4","137,5"
Provoz osobních dopravních prostředků,"56,4","60,3","65,4","67,1","70,5","83,2","81,5","77,8","78,7","83,6","87,5","89,8","90,8","94,5","87,5","98,1","105,1","110,8","110,1","110,5",100,"94,7","99,6","104,9","106,5","100,4","111,7","138,3","132,7"
Dopravní služby,"30,3","41,5","47,2","51,8","53,9","57,4","61,5",65,"66,1","68,3","70,3",73,"74,3","82,4","85,9","88,2","89,7",96,"97,6","99,2",100,"99,9","100,3","98,3","93,6","95,5","97,8","111,6",125
Pošty a telekomunikace,54,62,"71,1","78,7","90,6","97,1","101,9","105,2",103,"116,3","125,2","133,7","133,7","130,1","124,1","121,6","120,4","117,5",107,"101,4",100,"99,5","98,8","97,2","95,4",92,"91,5","92,1","95,4"
Poštovní služby,"24,2","25,7","31,3","33,2","33,2","39,2","39,2","41,4","45,9","46,4","53,1","53,7","53,7","71,5",73,"73,1","76,9","77,3","83,6","92,9",100,"110,4","118,4","126,6","132,8","137,2","137,5","138,3","158,7"
Telefonické a telefaxové služby,"48,5","56,2",64,"71,5",84,"88,8","94,3","98,6","96,8","110,8","119,6","128,6","129,7","127,2",122,"119,9","119,2","116,5","106,2","100,9",100,"99,7","99,2","97,8","96,1","92,7","92,5","92,5","95,2"
Rekreace a kultura,"71,2","75,9","81,1","86,6","88,5","90,7","95,3","97,2","96,9","97,9","99,6","101,1","101,1","101,9",101,100,"98,1","97,9","98,2","98,6",100,"101,4","102,4","103,4","105,1","107,4","110,5","123,2","136,1"
"Zařízení a vybavení audiovizuální, fotografická a pro zprac.dat","399,7","393,7","392,2","385,7","364,3","349,1","334,8","316,4","292,5",273,"249,3","231,1","209,4",185,"165,1","151,3","134,9","123,9","115,4",107,100,98,"93,6","87,1","81,4","78,7","80,2",88,"92,1"
Rekreační a kulturní služby,"37,5","39,9","47,6","55,7","58,2","60,8","63,6","65,4","66,8","70,1","74,2","80,3","84,9","89,9","91,3",93,"94,2","96,2","97,6","98,5",100,"102,3","105,2","107,9","111,2","115,4","118,9","129,7","142,9"
"Noviny, knihy a papírenské zboží","44,5","50,7","53,1","55,7",59,"61,8","65,5","69,3","72,1","74,9","77,6","79,1","81,4","84,6","88,2",90,"91,9",95,"96,5","97,6",100,"100,5","101,2","103,2","104,8","107,1","109,3","121,1","131,8"
Dovolená s komplex.službami,"54,1","57,9","61,5","65,8","67,7","71,1","79,9","83,6",83,"83,6","86,7","87,7","87,9","89,1","88,3","86,9","86,1","87,5","90,6","94,1",100,"102,4",105,"109,9","116,8","122,2","125,4","140,5","162,1"
Vzdělávání,"43,8","49,7","54,7","62,7","67,7","70,6","72,7","75,3","77,4","79,4","81,3","84,1","86,1","88,5","90,9","92,3","94,4","96,2","97,5","98,9",100,"101,3","103,3","105,1","107,9","111,9","114,5","118,9","127,1"
Stravování a ubytování,"47,4","50,4","53,7",60,"61,8","63,5","65,2","67,5","68,7","72,8","76,1","78,1","80,3",86,"87,9","90,1","91,5",95,97,"98,6",100,"101,5","107,3","111,2","115,9","121,6","126,8","153,5","175,3"
Stravovací služby,48,"50,8","54,1",60,"61,7","63,3",65,"67,3","68,4","72,5","75,7","77,3","79,4","85,1","87,1","89,3","90,8","94,4","96,6","98,4",100,"101,7","108,1",112,117,"123,3","129,3","157,2","179,5"
Ubytovací služby,"32,1","36,8","41,6","52,1","56,3","58,7","62,3","65,3","67,4","69,2","74,8","84,9","87,6","92,8","94,4",96,"96,3","98,1","98,8","99,6",100,"100,6","102,3","105,4","108,4","110,7","111,7","130,4","149,6"
Ostatní zboží a služby,"55,7","58,7","62,3","67,2",69,"70,5","73,7","76,6","78,8","82,1","82,9","84,5","86,2","90,3",92,93,"93,9","95,6","97,1","98,4",100,"101,1","102,2","105,1","109,2",113,"116,9","128,8","140,9"
z toho osobní péče,"65,1","69,9","74,7","79,9","82,7","84,8","87,6","89,1","88,7","91,9","92,4","93,6","94,7","96,8","97,3",97,"96,3","97,2","98,1","99,1",100,"100,6","103,3","106,6","110,6","114,9","117,1","130,1","141,3"
